"BUR24" "BUR6" "BURU" "FB24" "FB6" "FBU" "OVD24" "OVD6" "OVDU" "PO24" "PO6" "POU" "SR24" "SR6" "SRU" "ST24" "ST6" "STU" "WF"
"FBgn0035872" 4.03532419635903 4.080483104798 4.13177953856621 4.23275030547201 4.51515382428471 4.5272796018168 4.32541176349568 4.03038945766966 4.38074628368521 4.46321539758326 4.70318916560158 4.56921545121954 4.17895421572018 4.46247657501605 4.29737482477421 4.69642477276515 5.03552588000976 5.02851079742025 7.3838147575626
"FBgn0035871" 7.81692504167858 7.91789907064793 7.36517878530875 8.87564755701198 8.19582511636172 8.43618281560753 7.62539734396111 7.51883922620997 6.98246102673516 8.25540125386129 8.19489183328959 7.85685235444248 7.47752818517163 7.8106956739824 7.47342491607144 7.36440734995533 8.17209821823634 7.59117081869782 6.40730490166804
"FBgn0028646" 5.57380395816741 5.51584123788718 5.7289120222576 7.70164635254617 8.45268151293589 8.696050954354 5.98040230554381 5.94670623044416 6.07742380456659 6.2083783948645 6.47608300591099 6.41228635884537 6.57248333306524 6.93839833992242 6.81894536507615 6.51992371015736 6.70253520805329 6.61376761853634 6.21611064092404
"FBgn0028648" 3.73981305024262 4.05372009448158 3.77340096746616 3.37402159729266 3.93954946063403 4.05746247750257 3.75115637579837 3.92727488464362 3.75977448232923 3.20429593494406 3.43748260277051 3.23685417989639 3.53908255154927 3.78778034051354 3.58911016247064 3.4149266093093 3.38293673644595 3.23930598511395 4.29970917816301
"FBgn0025549" 3.17038702917067 2.83626725256076 3.12043034694506 3.55532430757676 2.96338223335728 2.60079930288295 3.80089680035939 3.24737596716594 3.47815328676679 4.5494928278348 3.66174792887515 4.12439955222394 3.7732027990441 3.42104625747512 3.59144034665679 3.78831687433464 3.38608872200024 3.23535526074034 4.03406152683076
"FBgn0032478" 1.78321556059065 1.07082019870942 1.39246028159821 0 0.349996123655431 0.623477528505198 1.13248611226268 0.902797624048016 1.62255890381175 2.27544713679759 2.31359003104797 1.58720994968773 1.75922533327702 1.42893980090117 1.41269470186692 2.56747855362044 2.54554693648119 2.3530015672972 0.0973174254324942
"FBgn0032479" 5.50249725691905 4.62051793562648 5.7726637474932 4.00732699528951 4.84965808522568 4.8852814759303 5.19865529204048 4.55716729951846 5.34617919027662 5.6487972633755 5.28503044969242 5.66909556050184 4.79920824926738 4.49746318860256 4.75749408438233 5.61949199366363 5.69433832855868 5.85009067227741 6.37781117846096
"FBgn0032477" 2.85710775104219 2.77898293426396 3.05407449050708 2.6647171987507 4.05003013072863 3.24034887621326 3.47582009240423 3.31787630657995 3.43813385971346 5.45191686028931 5.5171853794786 5.27579527000331 3.4612125934967 4.14003498761016 3.54320662078625 4.86969643867347 5.48992369822859 4.93255080810355 2.38338270505873
"FBgn0032474" 5.58100484634354 5.61295508680741 5.4597403467016 4.03327558067039 3.45887667146323 3.87306076266621 5.13655954269321 5.32275461717087 5.18713397144903 4.69413048974288 4.83190351985074 4.64775507003379 5.07299680473813 5.10898094900588 5.07754889853206 4.63940240348613 4.79721475761052 4.60454791638385 5.07853896625076
"FBgn0032475" 3.57654051631471 3.34630692138351 3.70085327797154 1.74171217359902 2.77556011381471 2.85506402995249 3.89823991472526 3.50724494901942 4.02507013549659 4.36098329621796 3.87283640004951 4.31594637999843 3.5826159500186 3.66231167855516 3.71558807274701 4.20555429462763 4.41715588264603 4.50879214469138 5.65376124440083
"FBgn0039350" 4.18121206969276 3.44461522293893 4.19739545552836 1.3349780085373 1.84558060341219 2.53772953756697 4.5170325506863 3.88975227099685 4.55851360795028 4.30854549801585 4.1818332412103 3.95573886166203 4.4894437638332 3.76474202068359 4.23669773210407 4.33496022752755 4.12362542928818 4.42306005389945 6.98605087447454
"FBgn0086898" 2.75302217480319 2.25365345202991 2.91733655048659 0 0.154470018461278 0.300953382306983 1.70518161093985 1.22936393327957 1.83260637562562 2.15369069516507 1.98093294200444 2.19146591499135 2.138455001051 2.13246333659604 2.63306827360754 1.96186284072084 1.91310291493079 1.88460350087017 2.72223313716844
"FBgn0086895" 2.13604871264899 2.23386451164215 2.35527212686739 1.34687000933727 2.00413201761974 1.13354523619288 2.48094332156026 2.3174869620959 2.63018048445053 2.53304702355434 2.75181681952439 2.37748394961087 2.48738480177767 2.54634155604024 2.44421818557149 2.70186384036982 2.79588811020893 2.34429316682587 4.18545254389762
"FBgn0003048" 2.57886667544397 2.48340741097121 2.83687216014846 2.08711548979836 2.31019152575549 1.64694368210115 3.92021406105062 2.98991690783062 3.73265380891476 3.89350532284051 3.23105665879919 3.55122371775662 3.23087981547293 3.53182271035815 3.44671323314123 3.43932777762199 3.19678819811183 2.91529893093421 3.47340152198738
"FBgn0003511" 2.73457613860339 3.33640946576454 2.65690309677555 2.29804847795852 2.25961458676338 2.38356159000588 2.38452929850814 2.67859682150733 2.62313429712802 2.10354967022785 2.55189331609827 2.13878795656319 2.69582742426587 2.46946371053776 2.34655141349565 2.80389301124409 2.81384421704547 2.59205188110605 5.08855571670813
